period,hazard_rt,hazard_chemo,hr,period_bin
107,0.007866934922138026,0.003896129650148576,0.4952538299490229,60+
108,0.008053983286173872,0.003975419679627919,0.4935967133744182,60+
109,0.007552106479382413,0.0037232549310713637,0.4930087971132313,60+
110,0.00747930143360651,0.0037296656980991666,0.4986649797721452,60+
111,0.00761307902947472,0.0037603465079344383,0.4939324146479918,60+
112,0.007925907048725296,0.0038210552927599502,0.4820969094476677,60+
113,0.007999817533621847,0.0038568942832064904,0.4821227818005388,60+
114,0.008190993628949726,0.003939492491045445,0.4809541637441828,60+
115,0.008511674786751017,0.004156574960189698,0.48833808437555454,60+
116,0.008292428970470719,0.004144756490289755,0.49982417757802977,60+
117,0.0089136070042757,0.0046133472151837305,0.5175623305998109,60+
118,0.009339137543574896,0.004725600380649136,0.5059996555999153,60+
119,0.00942605672049394,0.004769859892089751,0.5060291947659533,60+
120,0.008450853236405797,0.003829088755797394,0.45310084658693356,60+
121,0.009057149592026192,0.004055889764556877,0.44781083975113256,60+
122,0.008777893420555289,0.004015404668712669,0.457445138181987,60+
123,0.009012832756022758,0.004148780826665159,0.46031929571673985,60+
124,0.009330689180048242,0.004268584456816606,0.4574779391370249,60+
125,0.00961328162727298,0.0043650772908964755,0.4540673476695727,60+
126,0.010002062847732295,0.004612474734377702,0.46115234473091316,60+
127,0.009637881263371758,0.004723887389191278,0.49013753750465405,60+
128,0.0096482604028957,0.004482624774441782,0.464604455855734,60+
129,0.010248329764303437,0.0047261728217365,0.46116517817357044,60+
130,0.010343666973213145,0.004770536144773806,0.4612035709509983,60+
131,0.010977570802740278,0.004926088042795006,0.44874117701571375,60+
132,0.011079613918262331,0.004972314722695015,0.44878050439097317,60+
133,0.01171452124409056,0.005305763892488391,0.45292195745215846,60+
134,0.011823334470412963,0.005355540496747756,0.4529636296892055,60+
135,0.011933141698743654,0.005405781044435121,0.45300568625647447,60+
136,0.0120439516991714,0.0054564898025045066,0.45304813061313604,60+
137,0.009749670294607521,0.005043420810192204,0.5172914219449746,60+
138,0.009683933707737291,0.005307779602120021,0.5481016044006166,60+
139,0.009774393133470937,0.005357594269977806,0.5481255149878852,60+
140,0.011012775848297877,0.005962159126482364,0.5413856786528412,60+
141,0.011115593376963093,0.006018096408156237,0.5414102697053182,60+
142,0.011219359831453364,0.006074555100536797,0.5414350900402394,60+
143,0.011324083763369344,0.00613153999990512,0.541460141767863,60+
144,0.011669993896704058,0.005581133175216805,0.478246451936284,60+
145,0.011778871120500604,0.0056335173827952185,0.4782731150687548,60+
146,0.011888751768308354,0.005686390291481309,0.478300026975029,60+
147,0.010374226000856265,0.007447751827486747,0.7179091555237014,60+
148,0.010471156147190052,0.007517546574873724,0.717928991717984,60+
149,0.010568982274768579,0.007587990386043408,0.7179490123810958,60+
150,0.010667712484122661,0.007659089202894504,0.7179692192017684,60+
151,0.010767354945612595,0.007730849019949028,0.7179896138836901,60+
152,0.010867917899965768,0.0078032758847848506,0.7180101981456292,60+
